"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2008,"2008-11-23","2008-11-29",6,1,320,9.71,84,2.86,42.86,8,1.14,305.14,49.14,15.43,1.14,3.43,0,5.14,0,297.51857648577,24.3685764857701
2008,"2008-11-30","2008-12-06",6,1,327,12.57,33.14,2.86,54.86,16,2.86,322.86,99.43,41.71,1.14,6.29,0,47.43,16.57,297.231427873884,24.081427873884
2008,"2008-12-07","2008-12-13",6,1,334,4,16.57,1.71,28.57,2.86,0.57,76,64.57,19.43,1.14,0.57,0,9.14,4.57,296.485709054129,23.3357090541295
2008,"2008-12-14","2008-12-20",6,1,341,3.43,12,1.14,18.86,2.86,3.43,120,72.57,37.71,1.14,12,4,12.57,10.29,296.357147216797,23.2071472167969
2008,"2008-12-21","2008-12-27",6,1,348,1.71,39.43,1.71,27.43,14.29,6.29,97.14,67.43,108,0.57,2.29,24,24,68.57,296.112854003906,22.9628540039063
2008,"2008-12-28","2009-01-03",6,1,355,0.57,22.86,1.71,9.14,4.57,0.57,53.71,42.29,89.14,0.57,3.43,85.14,6.86,6.86,295.924290248326,22.7742902483259
2009,"2009-01-04","2009-01-07",3,2,359,2,7,0,4,1,0,8,10,40,0,3,107,3,3,296.375,23.225
2009,"2009-01-09","2009-01-15",6,1,367,1.43,3.43,1.71,32.86,8.86,2.57,3.71,10,19.71,1.14,0,138.86,0.29,0,296.305712018694,23.1557120186942
2009,"2009-01-16","2009-01-22",6,1,374,5.71,12,2.29,42.86,48,18.29,8,25.14,30.86,0,4,257.71,0,0,296.732857840402,23.5828578404018
2009,"2009-01-23","2009-01-29",6,1,381,4,10,5.71,11.43,25.14,10.29,4.29,7.14,6.29,0.57,1.71,53.43,0.29,0.29,297.935716901507,24.7857169015067
2009,"2009-01-30","2009-02-05",6,1,388,14.86,40,19.43,40.57,68,8.57,35.43,30.86,54.29,1.71,2.86,546.86,0,0,297.208570207868,24.0585702078683
2009,"2009-02-06","2009-02-12",6,1,395,41.71,22.86,20,13.14,36.57,17.71,42.86,37.71,32.57,4,4.57,254.29,0,0.57,296.961430140904,23.8114301409041
2009,"2009-02-13","2009-02-19",6,1,402,48,8,5.71,30.29,103.43,37.71,118.86,101.14,22.86,0.57,32.57,62.86,7.43,0,295.988568987165,22.8385689871652
2009,"2009-02-20","2009-02-26",6,1,409,4.86,84.29,3.71,13.14,35.14,6.57,12,24,13.71,4,2.57,60.29,0,0,295.922855922154,22.7728559221541
2009,"2009-02-27","2009-03-05",6,1,416,6.57,19.71,8.57,23.71,65.71,29.71,9.43,25.43,58.57,0.29,8.29,35.43,11.14,0,296.445717947824,23.2957179478237
2009,"2009-03-06","2009-03-12",6,8,423,28.29,27.71,13.14,48.86,106.57,54.57,8.29,26,22.57,0,2.86,15.43,1.43,0,296.482853480748,23.3328534807478
2009,"2009-03-20","2009-03-26",6,1,437,7.43,20.29,4.57,10.86,17.43,6.86,0.57,3.71,35.43,1.43,0.86,27.14,0.57,0,296.851427350725,23.7014273507255
2009,"2009-03-27","2009-04-02",6,8,444,2.57,7.71,3.14,7.14,25.71,17.71,1.14,3.14,9.14,0,0.29,4.86,0,0,297.052852085658,23.9028520856585
2009,"2009-04-10","2009-04-16",6,1,458,21.14,10.86,6,64.29,33.71,8.29,8.29,8.57,11.14,0.86,0,10.29,0.57,0,295.935712541853,22.7857125418527
2009,"2009-04-17","2009-04-23",6,1,465,7.14,42.57,8.29,39.71,28.29,6.57,7.71,9.14,36,4.86,0.29,14.57,0.29,0,296.302865164621,23.1528651646206
2009,"2009-04-24","2009-04-30",6,8,472,0.57,7.71,1.14,4,6.57,1.71,1.14,1.71,6,0.86,0,4,0,0,296.652858189174,23.5028581891741
2009,"2009-05-08","2009-05-14",6,1,486,5.43,22,12,26.57,53.71,9.14,6.29,3.71,12.86,1.14,0.57,5.43,0,0,299.218575613839,26.0685756138393
2009,"2009-05-15","2009-05-21",6,1,493,2.86,11.71,6,17.14,22.86,4.86,2.57,2.57,12.86,1.14,1.14,6,0.29,0,299.07428414481,25.9242841448103
2009,"2009-05-22","2009-05-26",4,124,498,0.4,14,2.8,8,28.8,3.2,1.2,1.2,6.8,1.6,0.8,5.2,0,0,298.405993652344,25.2559936523438
2009,"2009-09-27","2009-10-03",6,1,628,1.43,0.57,3.71,2.57,4,0.29,0,0.57,1.43,1.71,0.29,0,0.29,0,302.857138497489,29.7071384974889
2009,"2009-10-04","2009-10-10",6,1,635,17.71,1.14,1.43,2.57,15.71,9.43,0.29,1.14,13.14,5.43,0.57,0.57,0,0,302.292855398996,29.1428553989956
2009,"2009-10-11","2009-10-17",6,8,642,12.57,7.14,0.29,7.43,30,14.57,0,3.14,6.86,2,0.57,0,0,0.86,302.018567766462,28.8685677664621
2009,"2009-10-25","2009-10-31",6,1,656,4.86,3.43,0,5.71,10.29,21.71,0.29,4.86,16.29,0.57,2.29,0.29,0,0,301.571428571429,28.4214285714286
2009,"2009-11-01","2009-11-07",6,1,663,6.29,3.71,0.86,6.57,6.86,3.71,1.71,12,9.43,0.57,2.29,0.29,0,0,299.787135532924,26.6371355329241
