open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
10/04/09,17/04/09,14/04/09,104,459,7,0,22.81125031,21.14,10.86,6,64.29,33.71,8.29,8.29,8.57,11.14,0.86,0,10.29,0.57,0
17/04/09,24/04/09,21/04/09,111,466,7,0,23.20250854,7.14,42.57,8.29,39.71,28.29,6.57,7.71,9.14,36,4.86,0.29,14.57,0.29,0
24/04/09,01/05/09,28/04/09,118,473,7,7,23.58374939,0.57,7.71,1.14,4,6.57,1.71,1.14,1.71,6,0.86,0,4,0,0
08/05/09,15/05/09,12/05/09,132,487,7,0,26.12625275,5.43,22,12,26.57,53.71,9.14,6.29,3.71,12.86,1.14,0.57,5.43,0,0
15/05/09,22/05/09,19/05/09,139,494,7,0,25.80999908,2.86,11.71,6,17.14,22.86,4.86,2.57,2.57,12.86,1.14,1.14,6,0.29,0
22/05/09,27/05/09,24/05/09,144,499,5,123,25.3749939,0.4,14,2.8,8,28.8,3.2,1.2,1.2,6.8,1.6,0.8,5.2,0,0
27/09/09,04/10/09,01/10/09,274,629,7,0,29.65999756,1.43,0.57,3.71,2.57,4,0.29,0,0.57,1.43,1.71,0.29,0,0.29,0
04/10/09,11/10/09,08/10/09,281,636,7,0,29.08624802,17.71,1.14,1.43,2.57,15.71,9.43,0.29,1.14,13.14,5.43,0.57,0.57,0,0
11/10/09,18/10/09,15/10/09,288,643,7,7,28.82249603,12.57,7.14,0.29,7.43,30,14.57,0,3.14,6.86,2,0.57,0,0,0.86
25/10/09,01/11/09,29/10/09,302,657,7,0,28.23499832,4.86,3.43,0,5.71,10.29,21.71,0.29,4.86,16.29,0.57,2.29,0.29,0,0
01/11/09,08/11/09,05/11/09,309,664,7,0,26.59499512,6.29,3.71,0.86,6.57,6.86,3.71,1.71,12,9.43,0.57,2.29,0.29,0,0
08/11/09,15/11/09,12/11/09,316,671,7,7,25.76750336,5.14,3.14,1.14,3.14,1.14,1.14,2.57,7.14,4,0.86,3.43,0,0,0
22/11/09,29/11/09,26/11/09,330,685,7,0,22.73625717,13.71,8.57,3.14,2.29,2.57,2.86,69.14,42.86,10,1.43,0.29,0,0.86,0.29
29/11/09,06/12/09,03/12/09,337,692,7,7,22.96500168,30.86,6,0.29,3.43,2.29,0.57,50.86,69.14,8,2.29,0,0.29,0.29,0.57
13/12/09,20/12/09,17/12/09,351,706,7,0,23.16999969,1.14,12,1.14,1.71,1.14,3.43,38.29,76,26.29,0.57,1.14,0,3.43,17.71
20/12/09,27/12/09,24/12/09,358,713,7,0,22.2099968,0.86,7.71,0,1.14,0,0.57,7.71,28.57,39.43,1.43,0,3.14,2.86,3.71
27/12/09,03/01/10,31/12/09,365,720,7,7,21.62750015,5.14,4.57,0,1.14,2.29,3.43,46.29,57.71,187.43,2.86,2.29,22.86,28,20.57
10/01/10,17/01/10,14/01/10,14,734,7,0,20.79500351,2.29,4,0.57,5.14,1.71,1.71,42.86,34.86,33.71,0.57,3.43,277.14,1.71,13.14
17/01/10,24/01/10,21/01/10,21,741,7,0,20.99749908,0,2.29,0,2.29,0,0,22.29,38.86,18.29,0,9.14,253.71,0.57,6.29
24/01/10,07/02/10,31/01/10,31,755,14,21,21.16599935,10.57,2,1.14,1.71,1.14,4.86,22,24,17.43,0,7.71,451.14,1.71,1.43
28/02/10,07/03/10,04/03/10,63,783,7,3,19.86499939,13.71,6,1.14,7.71,2.57,6.57,27.43,15.71,28.86,3.14,4.29,55.14,0.86,0
10/03/10,24/03/10,17/03/10,76,800,14,0,19.65799967,4,14.86,1.14,5.14,6,20,42.86,49.43,88.57,0.57,11.71,25.43,2.86,0
24/03/10,07/04/10,31/03/10,90,814,14,0,20.22666626,10.57,13.43,1.14,9.43,11.43,25.71,31.43,38,275.71,3.14,21.71,31.43,13.43,0
07/04/10,14/04/10,11/04/10,101,821,7,0,20.82875214,2.57,11.71,1.43,3.71,4.86,14.57,14.86,16.57,102,0.57,9.43,6.86,10.29,0
14/04/10,21/04/10,18/04/10,108,828,7,0,21.41750107,2.86,14.86,2.29,9.71,66.86,50.86,8,18.29,114.29,9.71,12.57,76.57,16.57,0
21/04/10,28/04/10,25/04/10,115,835,7,0,22.66500244,8.57,34.29,4,22.29,100,111.43,12,18.29,61.14,7.43,10.29,6.86,1.14,0
28/04/10,05/05/10,02/05/10,122,842,7,0,23.50124893,8.57,6.29,13.14,26.86,30.29,28.57,6.29,13.14,25.14,6.29,8.57,12,0,0
05/05/10,12/05/10,09/05/10,129,849,7,0,24.73750076,0,1.43,2,4.86,3.71,4,0.57,1.71,9.71,5.71,0.29,3.71,0,0
