open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
14/08/11,28/08/11,21/08/11,233,1322,14,0,30.8039978,3.43,6.43,3.43,11,30.43,22.57,0.14,1,5.57,11,0.14,0.43,0,0
28/08/11,11/09/11,04/09/11,247,1336,14,0,29.90399984,0,20.86,3.14,36.57,52.86,42,0,0.29,5.14,3.43,0.57,2,0,0
11/09/11,25/09/11,18/09/11,261,1350,14,0,29.30199788,4.57,13.14,24.57,195.43,190.57,215.14,0.57,5.14,4.86,5.14,6.29,4.86,0,0
25/09/11,09/10/11,02/10/11,275,1364,14,0,29.37466634,0.57,20.29,4.29,39.43,10.57,22.86,0,0.86,13.71,1.71,3.71,1.14,0,0
09/10/11,23/10/11,16/10/11,289,1378,14,0,28.04799398,11.43,6,3.71,77.43,177.14,238,0.86,9.71,7.71,2.29,25.14,2,0,0
23/10/11,30/10/11,27/10/11,300,1385,7,0,26.9599968,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0,0,0
30/10/11,06/11/11,03/11/11,307,1392,7,0,25.94624863,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0,0
06/11/11,13/11/11,10/11/11,314,1399,7,0,25.26749191,13.43,3.14,2.86,8.29,10.57,10,24.57,18.86,9.14,0.57,1.43,0.57,0,0
13/11/11,20/11/11,17/11/11,321,1406,7,0,25.0774971,36,4,3.43,6.29,18.86,25.71,37.14,25.71,5.71,1.14,6.29,0,0,0
20/11/11,27/11/11,24/11/11,328,1413,7,0,24.81374893,19.43,38.86,3.43,35.43,52.57,59.43,23.43,28,6.29,0,4,0,0,0
27/11/11,04/12/11,01/12/11,335,1420,7,0,24.0149971,2.57,9.14,2.86,11.71,9.14,7.43,7.71,6.29,2.29,0,1.14,0,0,0
04/12/11,11/12/11,08/12/11,342,1427,7,0,23.39375076,22.29,16.57,2.29,33.14,26.29,41.71,24.57,62.86,13.14,0,6.86,0,0,0.57
11/12/11,18/12/11,15/12/11,349,1434,7,0,22.53125153,19.43,8.57,6.86,18.86,25.71,25.14,42.86,35.43,6.29,1.14,2.86,1.14,0,4
18/12/11,25/12/11,22/12/11,356,1441,7,0,22.95499954,9.71,39.43,11.43,33.71,14.29,28.57,28,25.71,18.86,2.29,2.86,2.86,0.57,101.71
25/12/11,01/01/12,29/12/11,363,1448,7,0,22.6850029,4,78.29,2.29,12,9.71,9.71,13.14,21.71,16,0.57,0.57,7.43,0,44
01/01/12,08/01/12,05/01/12,5,1455,7,0,22.90500412,4.57,22.29,2.29,8.57,12,14.86,8.57,26.29,23.43,0,4.57,7.43,0,49.14
08/01/12,15/01/12,12/01/12,12,1462,7,0,23.11249695,3.71,5.71,1.14,7.14,6.86,9.43,5.71,12.86,8,0,1.71,17.43,0,10
