open,close,G_menardii,G_siponifera,O_universa,G_saculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis,G_tumida,G_ungulata,H_pelagica,G_scitula,S_dehiscens,G_tenellus,G_rubescens,B_digitata,D_anfracta,C_nitida
10/06/11,24/06/11,16.00,8.57,13.14,25.43,28.29,15.14,4.00,8.86,10.29,4.00,1.43,5.71,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/11,08/07/11,9.43,6.86,8.57,18.00,21.43,12.00,1.14,5.71,5.14,5.43,1.43,3.43,0.29,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/07/11,22/07/11,3.43,5.14,10.29,22.29,35.71,29.43,1.43,4.86,4.86,8.29,0.86,1.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/07/11,09/08/11,1.33,7.11,5.33,12.44,22.89,7.78,1.33,4.22,3.33,3.56,0.22,1.11,0.22,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/11,28/08/11,3.43,6.43,3.43,11.00,30.43,22.57,0.14,1.00,5.57,11.00,0.14,0.43,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/08/11,11/09/11,0.00,20.86,3.14,36.57,52.86,42.00,0.00,0.29,5.14,3.43,0.57,2.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/09/11,25/09/11,4.57,13.14,24.57,195.43,190.57,215.14,0.57,5.14,4.86,5.14,6.29,4.86,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/09/11,09/10/11,0.57,20.29,4.29,39.43,10.57,22.86,0.00,0.86,13.71,1.71,3.71,1.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/10/11,23/10/11,11.43,6.00,3.71,77.43,177.14,238.00,0.86,9.71,7.71,2.29,25.14,2.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/10/11,30/10/11,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/10/11,06/11/11,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/11/11,13/11/11,13.43,3.14,2.86,8.29,10.57,10.00,24.57,18.86,9.14,0.57,1.43,0.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/11/11,20/11/11,36.00,4.00,3.43,6.29,18.86,25.71,37.14,25.71,5.71,1.14,6.29,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/11/11,27/11/11,19.43,38.86,3.43,35.43,52.57,59.43,23.43,28.00,6.29,0.00,4.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/11/11,04/12/11,2.57,9.14,2.86,11.71,9.14,7.43,7.71,6.29,2.29,0.00,1.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/12/11,11/12/11,22.29,16.57,2.29,33.14,26.29,41.71,24.57,62.86,13.14,0.00,6.86,0.00,0.00,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/11,18/12/11,19.43,8.57,6.86,18.86,25.71,25.14,42.86,35.43,6.29,1.14,2.86,1.14,0.00,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/12/11,25/12/11,9.71,39.43,11.43,33.71,14.29,28.57,28.00,25.71,18.86,2.29,2.86,2.86,0.57,101.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/12/11,01/01/12,4.00,78.29,2.29,12.00,9.71,9.71,13.14,21.71,16.00,0.57,0.57,7.43,0.00,44.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/01/12,08/01/12,4.57,22.29,2.29,8.57,12.00,14.86,8.57,26.29,23.43,0.00,4.57,7.43,0.00,49.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/01/12,15/01/12,3.71,5.71,1.14,7.14,6.86,9.43,5.71,12.86,8.00,0.00,1.71,17.43,0.00,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/01/12,22/01/12,8.57,12.00,4.00,16.57,17.71,24.00,18.86,17.71,6.86,0.57,5.14,74.29,0.00,21.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/01/12,29/01/12,1.43,5.71,1.71,7.43,5.14,11.71,9.14,10.29,7.43,0.00,2.86,52.86,0.00,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/01/12,05/02/12,0.57,0.57,0.00,2.86,1.14,2.57,0.86,1.71,4.29,0.00,0.29,20.29,0.00,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/02/12,12/02/12,0.00,0.57,0.00,0.00,0.29,0.57,0.57,0.57,1.14,0.00,0.29,3.14,0.00,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/03/12,03/04/12,2.57,10.29,2.57,8.57,8.57,2.29,1.14,7.43,28.57,2.86,0.57,37.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/04/12,10/04/12,12.86,19.43,5.71,6.29,5.71,4.57,3.43,6.00,45.43,2.29,0.86,18.86,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/04/12,17/04/12,11.43,60.57,22.86,27.43,40.00,50.86,8.57,18.86,81.14,2.86,8.57,44.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/04/12,24/04/12,0.86,39.43,2.86,8.00,27.71,23.71,0.57,5.71,27.14,2.00,1.71,14.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/04/12,01/05/12,2.86,29.71,19.43,21.14,46.86,19.43,3.43,10.29,28.57,1.71,1.14,22.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/05/12,08/05/12,21.71,23.43,43.43,111.43,94.29,40.00,24.00,37.14,22.29,0.57,13.71,1.71,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/05/12,15/05/12,18.86,21.14,37.14,91.43,43.43,24.57,9.71,29.14,17.14,1.14,16.57,5.71,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/05/12,22/05/12,1.71,72.29,8.00,5.14,14.86,7.14,0.29,10.57,34.57,10.86,3.71,4.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/05/12,29/05/12,1.43,17.43,2.86,4.29,12.00,8.29,1.14,12.86,39.71,1.43,4.57,1.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/05/12,05/06/12,4.00,24.57,18.29,22.29,48.57,21.71,1.71,10.29,27.43,12.00,5.71,4.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/06/12,12/06/12,1.71,7.71,3.14,2.57,16.29,8.00,0.00,2.00,11.14,0.86,1.43,0.86,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/06/12,19/06/12,3.43,13.71,9.71,16.86,26.86,14.29,0.29,2.29,22.00,4.86,1.14,2.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/06/12,26/06/12,0.57,6.29,3.71,5.14,12.29,4.29,0.00,1.43,9.14,6.86,1.14,4.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/12,03/07/12,1.14,4.57,2.86,24.57,58.86,78.86,0.00,8.00,6.29,3.43,5.71,1.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/07/12,10/07/12,6.86,14.29,20.00,106.86,126.29,124.00,0.57,28.57,13.14,0.57,10.86,1.71,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/07/12,17/07/12,0.29,0.00,0.00,1.14,2.86,2.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/07/12,24/07/12,0.29,0.29,1.14,2.86,5.43,5.71,0.29,0.57,1.14,0.57,1.71,0.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/07/12,31/07/12,0.57,8.29,3.43,8.86,12.00,8.86,0.00,0.86,6.57,1.71,1.14,0.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/07/12,07/08/12,1.43,13.43,2.86,9.71,30.57,22.29,0.29,4.00,8.57,2.00,0.86,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/12,14/08/12,2.86,56.00,15.43,53.14,138.86,96.00,0.00,10.86,50.86,23.43,3.43,5.14,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/08/12,29/08/12,1.14,22.00,9.14,37.14,56.00,24.29,0.29,2.86,15.43,16.57,0.00,1.43,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/08/12,12/09/12,2.29,4.86,6.00,69.43,76.00,28.29,0.00,3.14,17.14,0.57,0.29,0.29,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/09/12,26/09/12,1.43,18.57,8.86,34.29,38.00,22.57,0.00,1.71,15.43,2.57,2.57,0.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/09/12,10/10/12,25.43,11.14,3.14,9.14,35.71,20.57,0.57,10.29,15.43,3.43,1.14,0.57,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/12,24/10/12,5.43,20.57,5.43,18.57,16.57,14.00,0.29,4.00,7.71,1.14,0.86,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/10/12,07/11/12,6.00,4.29,1.14,8.29,12.86,14.14,2.14,3.43,4.29,0.14,1.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/11/12,14/11/12,12.00,34.86,12.57,93.71,49.14,44.57,22.86,6.29,12.57,0.57,1.71,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/11/12,21/11/12,5.43,64.29,5.71,27.71,9.14,12.29,12.00,8.00,8.29,2.29,0.86,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/11/12,28/11/12,6.86,15.43,4.00,18.86,9.71,58.29,29.14,19.43,5.14,1.14,5.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/11/12,05/12/12,23.14,6.57,3.71,20.86,7.71,26.29,34.29,14.57,3.43,2.00,0.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/12/12,12/12/12,7.14,3.43,2.29,16.29,1.14,6.29,15.43,10.57,4.00,0.29,0.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/12/12,19/12/12,4.00,4.29,0.00,3.43,0.86,7.14,3.71,13.14,2.86,0.57,0.29,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/12/12,26/12/12,3.43,2.86,0.00,1.43,0.29,2.29,2.00,4.29,2.86,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/12/12,02/01/13,4.29,2.57,1.14,2.29,2.57,5.14,12.86,7.71,5.71,0.00,0.29,0.86,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/01/13,09/01/13,24.57,8.57,1.71,20.57,6.86,20.00,113.14,40.57,29.71,2.29,1.14,4.57,0.00,5.71,0.00,0.57,1.14,0.00,1.14,0.00,0.00,3.43,0.00,0.00
09/01/13,16/01/13,3.71,5.71,0.57,6.00,1.14,4.86,36.57,24.57,11.71,0.00,0.00,4.00,0.86,7.43,0.00,0.00,0.29,0.00,0.57,0.00,0.00,0.29,0.00,0.00
16/01/13,23/01/13,16.57,6.86,1.14,8.57,5.71,12.57,70.29,66.29,34.86,0.00,2.86,15.43,0.57,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.00
23/01/13,30/01/13,2.86,1.43,1.14,9.71,5.43,19.14,17.71,24.57,19.71,0.29,1.14,30.00,0.00,3.14,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.57,0.00,0.00
07/02/13,14/02/13,4.57,64.71,1.71,12.00,10.29,9.71,9.14,28.57,150.00,7.43,9.71,932.35,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,1.71,1.71,0.00
14/02/13,21/02/13,1.14,4.00,1.43,8.86,9.14,7.43,4.57,7.43,23.14,2.29,1.43,67.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,2.00,0.00,0.00
21/02/13,07/03/13,5.43,3.71,3.14,125.43,56.00,76.57,37.71,45.71,104.00,0.86,12.57,68.86,2.57,1.14,0.29,0.57,0.57,0.00,0.00,0.00,0.00,5.43,0.00,0.00
07/03/13,21/03/13,4.57,42.00,23.14,55.43,62.57,57.14,65.43,58.57,86.29,1.71,25.71,38.00,1.14,0.29,0.00,0.00,0.00,0.00,0.29,0.29,0.86,2.00,0.00,0.00
21/03/13,04/04/13,17.71,16.57,10.00,16.57,49.14,27.43,22.57,49.71,106.57,5.14,24.00,79.71,0.29,0.00,0.57,1.71,0.86,0.00,0.29,0.29,0.00,6.00,1.14,0.00
04/04/13,18/04/13,6.29,7.43,0.57,31.14,21.43,26.00,11.14,28.29,71.43,2.57,3.71,13.43,0.00,0.00,0.29,0.29,0.57,0.00,0.00,0.29,1.43,3.71,1.14,0.00
18/04/13,02/05/13,9.71,4.29,10.00,57.14,24.00,20.57,6.86,14.57,41.71,1.14,3.71,10.00,0.00,0.00,0.00,0.86,2.00,0.00,0.29,0.29,0.86,2.57,0.57,0.00
02/05/13,16/05/13,2.43,7.57,4.14,9.43,7.71,6.29,1.57,4.86,19.57,4.14,0.43,9.57,0.00,0.14,0.00,0.00,1.14,0.00,0.00,0.00,0.00,3.14,0.14,0.00
16/05/13,30/05/13,3.71,6.43,3.86,8.29,7.71,5.86,1.57,3.57,28.14,2.57,1.14,3.29,0.00,0.14,0.00,0.29,0.57,0.00,0.00,0.00,0.00,3.71,0.00,0.00
30/05/13,13/06/13,2.00,5.71,3.86,4.14,5.71,6.71,1.00,1.14,17.43,2.14,1.43,1.57,0.00,0.00,0.14,0.00,0.57,0.00,0.00,0.14,0.00,3.14,0.00,0.00
13/06/13,27/06/13,0.14,5.29,3.14,2.14,6.43,7.43,0.43,0.71,18.71,0.29,0.14,0.57,0.00,0.00,0.00,0.14,0.71,0.00,0.00,0.00,0.00,3.29,0.57,0.00
27/06/13,11/07/13,1.00,4.71,4.71,2.00,6.29,9.00,0.14,1.14,14.14,1.57,1.57,1.29,0.14,0.00,0.14,0.29,1.29,0.00,0.00,0.00,0.00,2.14,0.57,0.00
11/07/13,25/07/13,0.43,3.43,2.71,13.00,12.57,23.29,0.00,0.86,9.43,1.00,1.57,0.57,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.29,0.14,2.57,0.43,0.00
25/07/13,08/08/13,0.00,6.71,3.29,7.43,11.86,15.43,1.29,0.71,0.43,0.00,0.43,0.29,0.00,0.14,0.00,0.00,0.86,0.00,0.00,0.00,0.14,0.71,0.14,0.00
08/08/13,22/08/13,0.14,3.43,3.86,12.00,15.86,16.29,0.29,0.29,9.71,0.86,1.00,1.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.29,0.57,0.14,0.29
22/08/13,05/09/13,0.57,1.43,1.86,6.57,8.43,3.86,0.57,1.43,3.00,0.14,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00
05/09/13,19/09/13,0.29,3.29,2.43,5.71,28.86,12.00,0.00,2.14,3.00,0.71,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00
19/09/13,03/10/13,0.57,4.57,1.14,4.29,36.00,24.29,0.29,0.29,9.14,0.00,0.86,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,1.14,0.86,0.00
03/10/13,17/10/13,0.43,6.29,0.86,5.86,26.71,13.14,0.00,2.57,5.86,0.86,0.57,0.29,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,1.00,0.00,0.00
17/10/13,31/10/13,2.86,4.43,3.14,5.43,22.86,11.14,0.14,2.00,4.86,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.14
31/10/13,14/11/13,1.00,0.43,0.71,1.86,3.71,2.57,0.29,0.00,1.14,0.00,0.14,0.29,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/11/13,30/11/13,10.29,9.43,0.29,5.43,4.86,4.29,35.43,30.29,5.43,0.29,0.86,0.00,0.00,0.00,0.00,0.00,2.57,0.00,1.14,0.00,0.00,0.86,0.00,0.00
30/11/13,07/12/13,4.00,17.71,0.57,1.14,2.86,7.43,88.00,48.57,13.14,0.00,2.86,0.00,0.57,0.57,0.00,0.00,0.57,0.00,0.57,0.00,0.00,0.00,0.00,0.00
07/12/13,14/12/13,2.86,10.57,2.00,6.29,4.00,4.00,56.57,37.71,5.43,0.29,0.86,0.00,0.00,1.71,0.00,0.00,0.00,0.00,2.57,0.00,0.00,0.57,0.00,0.00
14/12/13,21/12/13,4.00,5.43,1.71,3.43,1.14,0.86,13.14,6.86,1.71,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,1.14,0.00,0.00,0.00,0.00,0.00
21/12/13,28/12/13,2.86,4.00,1.43,2.57,0.57,0.29,11.71,6.86,5.43,0.00,0.00,0.57,0.00,0.00,0.29,0.00,0.00,0.00,2.57,0.00,0.00,0.00,0.00,0.00
28/12/13,04/01/14,0.00,5.43,1.14,0.86,0.86,0.86,3.71,5.43,5.71,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.29,0.29,0.00
04/01/14,11/01/14,1.14,0.29,0.29,1.14,0.00,0.57,4.29,3.43,6.86,0.86,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00
11/01/14,18/01/14,1.14,0.00,1.71,1.43,0.86,0.86,7.14,5.43,4.00,0.29,0.57,7.43,0.00,0.86,0.00,0.29,0.00,0.00,0.29,0.00,0.00,0.86,0.00,0.00
18/01/14,25/01/14,5.71,2.29,1.14,2.86,6.86,6.86,45.71,34.86,16.00,0.00,8.00,57.71,0.00,2.29,0.00,0.57,0.57,0.00,0.57,0.00,0.00,0.00,1.71,0.00
25/01/14,01/02/14,12.57,32.00,3.43,7.43,12.57,13.14,66.29,57.71,119.43,5.71,21.71,609.14,0.00,1.71,0.57,0.00,0.57,0.00,2.86,0.00,0.00,3.43,0.00,0.00
01/02/14,08/02/14,6.29,18.29,0.00,4.57,6.86,7.43,31.43,44.57,44.57,4.00,6.29,430.86,0.00,1.71,0.00,0.57,0.57,0.00,0.00,0.00,0.57,0.57,0.57,0.00
08/02/14,15/02/14,2.00,0.29,0.00,0.57,2.29,2.29,0.86,4.57,7.43,0.29,1.43,26.00,0.00,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00
15/02/14,22/02/14,2.86,4.00,0.00,2.29,4.00,2.86,6.86,10.86,15.71,0.29,1.14,42.00,0.29,1.71,0.00,0.00,0.29,0.57,0.29,0.00,0.00,0.57,0.00,0.00
22/02/14,01/03/14,2.29,2.57,0.86,1.71,2.57,2.86,4.86,5.14,9.43,1.43,2.29,32.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00
01/03/14,09/03/14,3.00,6.00,0.75,2.75,5.50,6.25,5.25,9.50,28.00,1.00,2.50,37.25,0.00,2.50,0.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.25,0.00
